Germany,Ramstein Air Force Base,"Stopped en route from Addis Ababa, Ethiopia.","July 28, 2015",OBAMA
Turkey,Antalya,Attended the G-20 Economic Summit.,"November 15–16, 2015",OBAMA
Philippines,Manila,"Attended the Trans-Pacific Partnership, Pacific Alliance, and APEC Summit 
Meetings.","November 17–20, 2015",OBAMA
Malaysia,Kuala Lumpur,Attended ASEAN Summit Meeting.,"November 20–22, 2015",OBAMA
France,Paris,Attended the UN Climate Change Conference.,"November 30–December 1, 2015",OBAMA
Cuba,Havana,Met with President Raul Castro.,"March 20–22, 2016",OBAMA
Argentina,"Buenos Aires, San Carlos de Bariloche",Met with President Mauricio Macri. Toured Llao Llao Park.,"March 23–24, 2016",OBAMA
Germany,Ramstein Air Force Base,Stopped en route to Saudi Arabia.,"April 19, 2016",OBAMA
Saudi Arabia,Riyadh,"Met with King Salman bin Abd-al Aziz Al Saud and attended the U.S.-Gulf 
Cooperation Council Summit.","April 20–21, 2016",OBAMA
United Kingdom,London,Met with Queen Elizabeth II and Prime Minister David W. D. Cameron.,"April 21–24, 2016",OBAMA
Germany,Hannover,"Met with Chancellor Angela Merkel, French President Francois Hollande, 
Italian Prime Minister Matteo Renzi, and British Prime Minister David W. D. 
Cameron.","April 24–25, 2016",OBAMA
Japan,Yokota Air Force Base,Stopped en route to Vietnam.,"May 22, 2016",OBAMA
Vietnam,"Hanoi, Ho Chi Minh City",Met with President Tran Dai Quang and Prime Minister Nguyen Xuan Phuc.,"May 23–25, 2016",OBAMA
Japan,"Shima City, Ise, Iwakuni, Hiroshima","Attended the G-7 Economic Summit. Attended ceremonies at the Hiroshima 
Peace Memorial Park. .","May 25–29, 2016",OBAMA
Canada,Ottawa,Attended the North American Leaders Summit.,"June 29, 2016",OBAMA
Poland,Warsaw,Attended a NATO Summit Meeting and a NATO leaders’ meeting on Afghanistan.,"July 7–9, 2016",OBAMA
Spain,"Madrid, Torrejon Air Base, Rota","Met with Spanish political leaders at Torrejon Air Base and visited Naval 
Station Rota.","July 9–10, 2016",OBAMA
"China, People’s Republic of",Hangzhou,Attended the G-20 Summit Meeting.,"September 3–5, 2016",OBAMA
Laos,"Vientiane, Luang Prabang","Met with President Bounnyang Vorachit and attended an East Asia Summit 
Meeting.","September 5–9, 2016",OBAMA
Japan,Yokota Air Force Base,Stopped while returning to the United States.,"September 9, 2016",OBAMA
Israel,Jerusalem,Attended the state funeral of former President Shimon Peres.,"September 30, 2016",OBAMA
Greece,Athens,Met with President Prokopios Pavlopoulis and Prime Minister Alexios Tsipras.,"November 15–16, 2016",OBAMA
Germany,Berlin,"Met with Chancellor Angela Merkel, French President Francois Hollande, 
Spanish Prime Minister Mariano Rajoy, Italian Prime Minister Matteo Renzi, 
and British Prime Minister Theresa May.","November 16–18, 2016",OBAMA
Peru,Lima,"Met with President Pedro Pablo Kuczynski and attended Trans-Pacific 
Partnership and APEC Summit Meetings.","November 18–20, 2016",OBAMA
Country,Locale,Remarks,Date,
Saudi Arabia,Riyadh,"Met with King Salman bin Abdel Aziz Al-Saud. Signed military sales 
agreement. Met with leaders of the Gulf Cooperation Council.","May 20–22, 2017",TRUMP
Israel,Jerusalem,"Met with President Reuven Rivlin and Prime Minister Benjamin Netanyahu. 
Visited the Western Wall and Yad Vashem.","May 22–23, 2017",TRUMP
Palestinian Authority,Bethlehem,Met with President Mahmoud Abbas.,"May 23, 2017",TRUMP
Italy,Rome,Met with Prime Minister Paolo Gentiloni.,"May 23–24, 2017",TRUMP
Vatican City,,Met with Pope Francis and Secretary of State Cardinal Pietro Parolin.,"May 24, 2017",TRUMP
Belgium,Brussels,Attended a NATO Summit Meeting.,"May 24–25, 2017",TRUMP
Italy,"Taormina, Sigonella","Attended the G-7 Summit Meeting. Stopped at NAS Sigonella while returning 
to the United States.","May 25–27, 2017",TRUMP
Poland,Warsaw,"Met with President Andrzej Duda, delivered a public address, and addressed 
the Three Seas Summit.","July 5–6, 2017",TRUMP
Germany,Hamburg,Attended the G-20 Summit.,"July 6–8, 2017",TRUMP
France,Paris,"Official visit. Met with President Emmanuel Macron. Commemorated Bastille 
Day and the entry of the United States into World War I.","July 13–14, 2017",TRUMP
Japan,"Kawagoe, Tokyo",Met with Prime Minister Shinzo Abe and Emperor Akihito.,"November 5–7, 2017",TRUMP
"Korea, Republic of","Osan, Seoul","Met with President Moon Jae-In. Visited U.S. Military personnel at 
Garrisons Humphreys and Yongsan.","November 7–8, 2017",TRUMP
"China, People’s Republic of",Beijing,Met with President Xi Jinping. State Dinner.,"November 8–10, 2017",TRUMP
Vietnam,"Danang, Hanoi","Attended the APEC Economic Leaders Meeting. Met with President Tran Dai 
Quang.","November 10–12, 2017",TRUMP
Philippines,Manila,"Met with President Rodrigo Duterte and attended the 31st ASEAN Summit 
Meeting.","November 12–14, 2017",TRUMP
Switzerland,Davos,Attended the 2018 World Economic Forum.,"January 24–26, 2018",TRUMP
Canada,Charlevoix,Attended the G–7 meetings.,"June 9, 2018",TRUMP
Singapore,Singapore,"Participated in the summit with North Korean leader Kim Jong-un and 
bilateral events with Singaporean Prime Minister Lee Hsien Loong.","June 10–13, 2018",TRUMP
Belgium,Brussels,Attended NATO Summit Meeting.,"July 10–12, 2018",TRUMP
United Kingdom,London,Met with Queen Elizabeth II and Prime Minister Theresa May.,"July 12–13, 2018",TRUMP
Finland,Helsinki,Bilateral meeting with Russian President Vladimir Putin.,"July 16, 2018",TRUMP
France,Paris,"Commemorated the 100th anniversary of the end of the WWI and met with 
French President Emmanuel Macron.","November 10–11, 2018",TRUMP
Argentina,Buenos Aires,Participated in the G–20 Leaders’ Summit.,"November 29–December 1, 2018",TRUMP
